"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL016W_mRNA",6578.71660646456,-0.325072207138726,0.209198977437097,-1.55389003866652,0.120210648230982,0.557158459795613
"YEL009C_mRNA",11341.0597508835,-0.00466113357466645,0.222114134630535,-0.0209853082174162,0.983257375440307,0.994605269109865
"YNL316C_mRNA",120.184182787193,0.977235062019574,0.738112713134675,1.32396454447909,0.185514820237007,0.65491497990653
"YNR003C_mRNA",308.136825388208,1.06379588265067,0.49092965857796,2.16690082593928,0.0302424169712459,0.310219211296133
"YLR380W_mRNA",2288.97096528485,-0.0233119699425225,0.30316686161259,-0.0768948486603141,0.938707195588882,0.98699945394451
"YMR013C-A_mRNA",2.53778302410019,0.0615693283400308,4.65961243008172,0.0132134011709963,0.989457537985911,NA
"YNL113W_mRNA",681.550089331812,0.81713877802904,0.465599803576912,1.7550238890813,0.0792552216347571,0.472407531658524
"YKL079W_mRNA",403.134544196651,-0.489503023419922,0.467317967074574,-1.04747315084893,0.294881409040309,0.758041426930723
"YDR056C_mRNA",156.462376848795,-0.321679471660869,0.956637907716672,-0.336260427342527,0.736674488586984,0.947791020620827
"YDL240W_mRNA",204.113348782642,-0.581546970771373,0.640147041148895,-0.908458421877026,0.363636071408884,0.795102643208434
"YJR102C_mRNA",10.8099544956038,0.231235388797103,2.82916558175021,0.0817327166316131,0.934859261276365,NA
"YKR095W-A_mRNA",157.500582618461,0.901428631587611,0.633917073725427,1.42199771697276,0.155026913710954,0.615110535436341
"YPR138C_mRNA",658.373267135577,0.368991596322704,0.479973016689357,0.768775709242669,0.442026471358715,0.846004026100934
"YOR225W_mRNA",0.174554300199144,0.333985847370639,4.99067197375673,0.0669220195450416,0.946643783270183,NA
"YGL108C_mRNA",227.211641825871,0.777051819721198,0.59590194194226,1.30399276295107,0.192236049905834,0.662566268326
"YGL221C_mRNA",1472.09785824633,0.550049295786223,0.306563838796432,1.79424063172523,0.0727747694086927,0.459662117518151
"YDR183C-A_mRNA",0.174554300199144,0.333985847370639,4.99067197375673,0.0669220195450415,0.946643783270183,NA
"YCR050C_mRNA",0.859639900464542,2.64843474171042,4.82709390353624,0.548660290153093,0.583238602441679,NA
"YOR028C_mRNA",365.772971184055,-0.743241773506741,0.430796439445392,-1.72527371503718,0.0844781565628615,0.486024872486115
"YOR169C_mRNA",0,NA,NA,NA,NA,NA
"YBR186W_mRNA",0.510531300066255,1.89677230649707,4.85583374349879,0.390617225937061,0.696080190853238,NA
"YOR080W_mRNA",54.3348726462411,-1.75116235996566,1.1570222297381,-1.51350796463266,0.130150679587913,0.577441363838075
"YBL006C_mRNA",410.719588616211,0.828231153994143,0.440305612330555,1.88103701338323,0.0599668840471264,0.422322989351757
"YOR235W_mRNA",0,NA,NA,NA,NA,NA
"YER036C_mRNA",6224.4585372517,-0.227644875763916,0.223770472338232,-1.01731418531319,0.309003990550853,0.768031616626031
"YLR442C_mRNA",165.207062186369,0.928281763714596,0.678593127732305,1.3679504341824,0.17132759149059,0.638662132489381
"YLR024C_mRNA",132.469350771494,-0.524389950464521,0.761256086303609,-0.688848286272197,0.490918745558903,0.870140197010726
"YLR326W_mRNA",132.561183026368,0.37014483787757,0.798268629207598,0.46368455972646,0.642873761038618,0.926147759374751
"YIL013C_mRNA",85.2696159419053,-0.965019716751826,0.827101146497215,-1.16674933995521,0.243311610968256,0.711423439982023
"YLR122C_mRNA",15.4567979787399,-0.984389712614364,1.93078173706171,-0.509839975031266,0.610163577263362,0.913604982190893
"YJR015W_mRNA",1408.54012971968,0.0564662699871802,0.274804202091662,0.205478189770714,0.837198536586946,0.963035785417707
"YLR396C_mRNA",105.070274661931,-0.122271809485247,0.855233095131168,-0.142968987263635,0.886314674118888,0.972813368207321
"YER084W-A_mRNA",0,NA,NA,NA,NA,NA
"YHL046W-A_mRNA",0,NA,NA,NA,NA,NA
"YLR042C_mRNA",63.507197002497,-1.33091703339887,0.980720327032792,-1.35708111345628,0.174755438790487,0.639431809450812
"YEL056W_mRNA",342.945648106143,0.669806222058846,0.453835929776812,1.47587746608834,0.13997678980485,0.590584552593606
"YER140W_mRNA",132.640820529072,0.775017447382931,0.709832471781121,1.09183149291304,0.274907173836187,0.743465058714227
"YNL298W_mRNA",1304.24579459117,-0.366362205751764,0.290588584278515,-1.26075911296166,0.207395649014866,0.681031360382599
"YPR055W_mRNA",155.951391489793,-0.840347005399799,0.693583974536969,-1.21160095424755,0.225665169121842,0.695052284677316
"YOL126C_mRNA",205.96979178082,0.386676624987981,0.582327239893557,0.664019469634739,0.506677850005363,0.873088844014032
"YPL206C_mRNA",280.020856089996,0.636049713937878,0.512582191893292,1.24087360816914,0.214652443704918,0.686590927681669
"YIR006C_mRNA",5534.33386858989,-0.511142805593014,0.261695792698013,-1.95319458644432,0.050796542312978,0.392467943941566
"YGL205W_mRNA",9.88743980468521,1.92716416359416,2.6450800409894,0.728584441200237,0.466255898671394,NA
"YGR290W_mRNA",1.74554300199144,3.67053259503176,4.80564514476843,0.763796011660914,0.444988813956521,NA
"YGR022C_mRNA",0,NA,NA,NA,NA,NA
"YOL121C_mRNA",9395.73225279238,-0.0221435502601769,0.220839972453778,-0.100269665922059,0.92013023918568,0.979476432073677
"YLR183C_mRNA",685.439613947418,0.420547738864497,0.342852309802935,1.22661486255181,0.219967380379249,0.691463793223457
"YIL145C_mRNA",761.655819138285,0.371534263208559,0.37568326970797,0.988956105224923,0.322684618293539,0.773126611822356
"YNL139C_mRNA",339.357030718636,0.062269233096085,0.498715614909329,0.12485920078401,0.90063501859228,0.976828038566759
"YBR274W_mRNA",110.544969067609,0.556521133103083,0.800009075534549,0.695643524707801,0.486652101492209,0.868166354296684
"YJL071W_mRNA",203.525097275595,-0.489853769640783,0.596071579315826,-0.821803599834502,0.411188684612394,0.825340048408571
"YLL028W_mRNA",1502.60589535138,-0.447907840162736,0.297367497654664,-1.50624343176501,0.132004693823183,0.581719235510564
"YER091C-A_mRNA",0,NA,NA,NA,NA,NA
